REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S1D2,PWRHYDFJIXX01,1,2023,2.3852916
GLOBAL,S1D2,PWRHYDFJIXX01,1,2024,2.3852916
GLOBAL,S1D2,PWRHYDFJIXX01,1,2025,2.3852916
GLOBAL,S1D2,PWRHYDFJIXX01,1,2026,2.3852916
GLOBAL,S1D2,PWRHYDFJIXX01,1,2027,2.3852916
GLOBAL,S1D2,PWRHYDFJIXX01,1,2028,2.3852916
GLOBAL,S1D2,PWRHYDFJIXX01,1,2029,2.3852916
GLOBAL,S1D2,PWRHYDFJIXX01,1,2030,2.3852916
GLOBAL,S1D2,PWRHYDFJIXX01,1,2031,2.3852916
GLOBAL,S1D2,PWRHYDFJIXX01,1,2032,2.3852916
GLOBAL,S1D2,PWRHYDFJIXX01,1,2033,1.0927796
GLOBAL,S1D2,PWRHYDFJIXX01,1,2034,2.3852916
GLOBAL,S1D2,PWRHYDFJIXX01,1,2035,1.0547126
GLOBAL,S1D2,PWRHYDFJIXX01,1,2036,2.2758666
GLOBAL,S1D2,PWRHYDFJIXX01,1,2037,1.0547126
GLOBAL,S1D2,PWRHYDFJIXX01,1,2038,1.0547126
GLOBAL,S1D2,PWRHYDFJIXX01,1,2039,1.0547126
GLOBAL,S1D2,PWRHYDFJIXX01,1,2040,1.145019
GLOBAL,S1D2,PWRHYDFJIXX01,1,2041,1.0547126
GLOBAL,S1D2,PWRHYDFJIXX01,1,2042,1.0547126
GLOBAL,S1D2,PWRHYDFJIXX01,1,2043,1.0547126
GLOBAL,S1D2,PWRHYDFJIXX01,1,2044,1.0547126
GLOBAL,S1D2,PWRHYDFJIXX01,1,2045,1.0547126
GLOBAL,S1D2,PWRHYDFJIXX01,1,2046,1.0547126
GLOBAL,S1D2,PWRHYDFJIXX01,1,2047,1.0547126
GLOBAL,S1D2,PWRHYDFJIXX01,1,2048,2.3852916
GLOBAL,S1D2,PWRHYDFJIXX01,1,2049,1.0547126
GLOBAL,S1D2,PWRHYDFJIXX01,1,2050,1.0547126
GLOBAL,S1D2,PWROILFJIXX01,2,2022,1.0737645
GLOBAL,S1D2,PWROILFJIXX01,2,2028,0.015006064
GLOBAL,S1D2,PWROILFJIXX01,2,2029,0.4506656
GLOBAL,S1D2,PWROILFJIXX01,2,2030,0.71665554
GLOBAL,S1D2,PWROILFJIXX01,2,2031,1.220128
GLOBAL,S1D2,PWROILFJIXX01,2,2032,0.1291304
GLOBAL,S1D2,PWROILFJIXX01,2,2033,1.3797349
GLOBAL,S1D2,PWROILFJIXX01,2,2034,0.047780396
GLOBAL,S1D2,PWROILFJIXX01,2,2035,1.513728
GLOBAL,S1D2,PWROILFJIXX01,2,2036,0.070925114
GLOBAL,S1D2,PWROILFJIXX01,2,2037,1.2452412
GLOBAL,S1D2,PWROILFJIXX01,2,2038,1.513728
GLOBAL,S1D2,PWROILFJIXX01,2,2039,1.513728
GLOBAL,S1D2,PWROILFJIXX01,2,2040,0.77071006
GLOBAL,S1D2,PWROILFJIXX01,2,2041,0.58408058
GLOBAL,S1D2,PWROILFJIXX01,2,2042,0.91211179
GLOBAL,S1D2,PWROILFJIXX01,2,2043,0.63489752
GLOBAL,S1D2,PWROILFJIXX01,2,2044,0.30898336
GLOBAL,S1D2,PWRPETFJIXX01,2,2031,0.13090064
GLOBAL,S1D2,PWRPETFJIXX01,2,2032,1.8623995
GLOBAL,S1D2,PWRPETFJIXX01,2,2033,2.0757472
GLOBAL,S1D2,PWRPETFJIXX01,2,2034,2.2219113
GLOBAL,S1D2,PWRPETFJIXX01,2,2035,2.2219113
GLOBAL,S1D2,PWRPETFJIXX01,2,2036,2.2219113
GLOBAL,S1D2,PWRPETFJIXX01,2,2037,2.2219113
GLOBAL,S1D2,PWRPETFJIXX01,2,2038,2.2219113
GLOBAL,S1D2,PWRPETFJIXX01,2,2039,2.2219113
GLOBAL,S1D2,PWRPETFJIXX01,2,2040,2.2219113
GLOBAL,S1D2,PWRPETFJIXX01,2,2041,2.2219113
GLOBAL,S1D2,PWRPETFJIXX01,2,2042,2.2219113
GLOBAL,S1D2,PWRPETFJIXX01,2,2043,2.2219113
GLOBAL,S1D2,PWRPETFJIXX01,2,2044,2.2219113
GLOBAL,S1D2,PWRPETFJIXX01,2,2045,2.2219113
GLOBAL,S1D2,PWRPETFJIXX01,2,2046,2.3718418
GLOBAL,S1D2,PWRPETFJIXX01,2,2047,2.3718418
GLOBAL,S1D2,PWRPETFJIXX01,2,2048,2.8499419
GLOBAL,S1D2,PWRPETFJIXX01,2,2049,3.1908218
GLOBAL,S1D2,PWRPETFJIXX01,2,2050,3.1908218
GLOBAL,S1D2,PWRSPVFJIXX01,1,2040,0.27365372
GLOBAL,S1D2,PWRSPVFJIXX01,1,2041,0.27365372
GLOBAL,S1D2,PWRSPVFJIXX01,1,2042,0.27365372
GLOBAL,S1D2,PWRSPVFJIXX01,1,2043,0.27365372
GLOBAL,S1D2,PWRSPVFJIXX01,1,2044,0.27365372
GLOBAL,S1D2,PWRSPVFJIXX01,1,2045,0.27365372
GLOBAL,S1D2,PWRSPVFJIXX01,1,2046,0.27365372
GLOBAL,S1D2,PWRSPVFJIXX01,1,2047,0.45480291
GLOBAL,S1D2,PWRSPVFJIXX01,1,2048,0.45480291
GLOBAL,S1D2,PWRSPVFJIXX01,1,2049,0.45480291
GLOBAL,S1D2,PWRSPVFJIXX01,1,2050,0.30790877
GLOBAL,S1D2,PWRTRNFJIXX,1,2021,3.3783784
GLOBAL,S1D2,PWRTRNFJIXX,1,2022,3.4590561
GLOBAL,S1D2,PWRTRNFJIXX,1,2023,3.5296491
GLOBAL,S1D2,PWRTRNFJIXX,1,2024,3.6103267
GLOBAL,S1D2,PWRTRNFJIXX,1,2025,3.6809197
GLOBAL,S1D2,PWRTRNFJIXX,1,2026,3.8321904
GLOBAL,S1D2,PWRTRNFJIXX,1,2027,3.9834611
GLOBAL,S1D2,PWRTRNFJIXX,1,2028,4.1347317
GLOBAL,S1D2,PWRTRNFJIXX,1,2029,4.2860024
GLOBAL,S1D2,PWRTRNFJIXX,1,2030,4.4372731
GLOBAL,S1D2,PWRTRNFJIXX,1,2031,4.5986285
GLOBAL,S1D2,PWRTRNFJIXX,1,2032,4.7599839
GLOBAL,S1D2,PWRTRNFJIXX,1,2033,4.931424
GLOBAL,S1D2,PWRTRNFJIXX,1,2034,5.0927793
GLOBAL,S1D2,PWRTRNFJIXX,1,2035,5.2541347
GLOBAL,S1D2,PWRTRNFJIXX,1,2036,5.4457443
GLOBAL,S1D2,PWRTRNFJIXX,1,2037,5.6373538
GLOBAL,S1D2,PWRTRNFJIXX,1,2038,5.8188786
GLOBAL,S1D2,PWRTRNFJIXX,1,2039,6.0104881
GLOBAL,S1D2,PWRTRNFJIXX,1,2040,6.1920129
GLOBAL,S1D2,PWRTRNFJIXX,1,2041,6.4138766
GLOBAL,S1D2,PWRTRNFJIXX,1,2042,6.6256555
GLOBAL,S1D2,PWRTRNFJIXX,1,2043,6.8374344
GLOBAL,S1D2,PWRTRNFJIXX,1,2044,7.0592981
GLOBAL,S1D2,PWRTRNFJIXX,1,2045,7.271077
GLOBAL,S1D2,PWRTRNFJIXX,1,2046,7.5231948
GLOBAL,S1D2,PWRTRNFJIXX,1,2047,7.7853973
GLOBAL,S1D2,PWRTRNFJIXX,1,2048,8.0375151
GLOBAL,S1D2,PWRTRNFJIXX,1,2049,8.2896329
GLOBAL,S1D2,PWRTRNFJIXX,1,2050,8.5417507
GLOBAL,S1D2,PWRWONFJIXX01,1,2023,0.0678024
GLOBAL,S1D2,PWRWONFJIXX01,1,2024,0.0678024
GLOBAL,S1D2,PWRWONFJIXX01,1,2025,0.0678024
GLOBAL,S1D2,PWRWONFJIXX01,1,2026,0.0678024
GLOBAL,S1D2,PWRWONFJIXX01,1,2027,0.0678024
GLOBAL,S1D2,PWRWONFJIXX01,1,2028,0.0678024
GLOBAL,S1D2,PWRWONFJIXX01,1,2029,0.0678024
GLOBAL,S1D2,PWRWONFJIXX01,1,2030,0.0678024
